Company,Board of Directors or Executive Management,Position,Approximate Categorization,Special Area,Name,Nationality,Year of Birth,Educational Background,Gender,Remarks
Addtech AB,Board of Directors,Board Member,Board Member,Board Member,Henrik Hedlius,Sweden (predicted),1966,Business,Male,
Addtech AB,Board of Directors,Board Member,Board Member,Board Member,Malin Nordesjö,Sweden (predicted),1976,Business,Female,
Addtech AB,Executive Management,President and CEO,CEO,CEO,Niklas Stenberg,Sweden (predicted),1974,Law,Male,
Addtech AB,Executive Management,"Business Area Manager, Energy",Business Unit Head,"Other: ""Energy Head""",Hans Andersén,Sweden (predicted),1961,Engineering,Male,
Addtech AB,Executive Management,"Business Area Manager, Automation",Business Unit Head,"Other: ""Automation Head""",Patrik Klerck,Sweden (predicted),1969,Engineering,Male,
Addtech AB,Executive Management,"Business Area Manager, Industrial Process",Business Unit Head,"Other: ""Industrial Process Head""",Claus Nielsen,Sweden (predicted),1969,"Other: ""Export Technician""",Male,
Addtech AB,Executive Management,CFO,Support Function,Finance,Malin Enarson,Sweden (predicted),1973,Business,Female,
Addtech AB,Executive Management,"Business Area Manager, Power Solutions",Business Unit Head,"Other: ""Power Solutions Head""",Per Lundblad,Sweden (predicted),1967,"Engineering, Business",Male,
Addtech AB,Executive Management,"Business Area Manager, Components",Business Unit Head,"Other: ""Components Head""",Martin Fassl,Sweden (predicted),1960,Business,Male,
AFRY,Board of Directors,Chairman,Chair,Chair,Tom Erixon,Sweden (predicted),1960,"Law, Business",Male,
AFRY,Board of Directors,"Director, Member of Remuneration Committee, Project Committee",Board Member,Board Member,Henrik Ehrnrooth,Finland (predicted),1954,Business,Male,
AFRY,Board of Directors,"Director, Member of Project Committee",Board Member,Board Member,Neil McArthur,UK (predicted),1961,"Engineering, Business",Male,
AFRY,Board of Directors,"Director, Chair of Audit Committee",Board Member,Board Member,Kristina Schauman,Sweden (predicted),1965,Business,Female,
AFRY,Board of Directors,Director,Board Member,Board Member,Tuula Teeri,Finland (predicted),1957,Sciences,Female,
AFRY,Board of Directors,"Director, Member of Audit Committee",Board Member,Board Member,Magnus Heimburg,Sweden (predicted),1967,Business,Male,
AFRY,Board of Directors,Director,Board Member,Board Member,Jenny Larsson,Sweden (predicted),1973,"Engineering, Sciences",Female,
AFRY,Board of Directors,"Director, Member of Audit Committee",Board Member,Board Member,Åsa Pettersson,Sweden (predicted),1975,Humanities,Female,
AFRY,Executive Management,President and CEO,CEO,CEO,Jonas Gustavsson,Sweden (predicted),1967,Engineering,Male,
AFRY,Executive Management,Chief Financial Officer,Support Function,Finance,Bo Sandström,Sweden (predicted),1975,"Engineering, Business",Male,
AFRY,Executive Management,Head of Human Resources,Support Function,Human Resources,Sara Klingenborg,Sweden (predicted),1973,Humanities,Female,
AFRY,Executive Management,EVP and Head of Communications,Support Function,Comms and Marketing,Cathrine Sandegren,Sweden (predicted),1977,Business,Female,
AFRY,Executive Management,Group General Counsel,Support Function,Legal Affairs,Susan Gustafsson,Sweden (predicted),1973,Law,Female,
AFRY,Executive Management,EVP and Head of Division Infrastructure,Business Unit Head,"Other: ""Infrastructure Head""",Robert Larsson,Sweden (predicted),1967,Engineering,Male,
AFRY,Executive Management,EVP and Head of Division Industrial & Digital Solutions,Business Unit Head,"Other: ""Industrial & Digital Solutions Head""",Martin Öman,Sweden (predicted),1971,"Engineering, Business",Male,
AFRY,Executive Management,EVP and Head of Division Process Industries,Business Unit Head,"Other: ""Process Industries Head""",Nicholas Oksanen,Finland (predicted),1967,"Engineering, Business",Male,
AFRY,Executive Management,EVP and Head of Division Energy,Business Unit Head,"Other: ""Energy Head""",Linda Pålsson,Sweden (predicted),1974,Engineering,Female,
AFRY,Executive Management,EVP and Head of Division Management Consulting,Business Unit Head,"Other: ""Management Consulting Head""",Roland Lorenz,Germany (predicted),1970,Engineering,Male,
AFRY,Executive Management,EVP and Head of Strategy and Sustainability,Support Function,Sustainability,Henrik Tegnér,Sweden (predicted),1970,"Engineering, Business",Male,
Alfa Laval,Board of Directors,Chairman,Chair,Chair,Dennis Jönsson,Sweden (predicted),1956,Business,Male,
Alfa Laval,Board of Directors,Board Member,Board Member,Board Member,Ray Mauritsson,Sweden (predicted),1962,"Engineering, Business",Male,
Alfa Laval,Board of Directors,Board Member,Board Member,Board Member,Lilian Fossum Biner,Sweden (predicted),1962,Business,Female,
Alfa Laval,Board of Directors,Board Member,Board Member,Board Member,Anna Müller,Sweden (predicted),1967,Business,Female,
Alfa Laval,Board of Directors,Board Member,Board Member,Board Member,Finn Rausing,Sweden (predicted),1955,"Law, Business",Male,
Alfa Laval,Board of Directors,Board Member,Board Member,Board Member,Ulf Wiinberg,Sweden (predicted),1958,Business,Male,
Alfa Laval,Board of Directors,Board Member,Board Member,Board Member,Jörn Rausing,Sweden (predicted),1960,Business,Male,
Alfa Laval,Board of Directors,Board Member,Board Member,Board Member,Henrik Lange,Sweden (predicted),1961,Business,Male,
Alfa Laval,Board of Directors,Board Member,Board Member,Board Member,Nadine Crauwels,Belgium (predicted),1971,Engineering,Female,
Alfa Laval,Executive Management,CFO,Support Function,Finance,Fredrik Ekström,Sweden (predicted),1975,Business,Male,
Alfa Laval,Executive Management,"Director, Energy Division",Business Unit Head,"Other: ""Energy Head""",Thomas Møller,Sweden (predicted),1974,Engineering,Male,
Alfa Laval,Executive Management,"Senior Vice President, Global Sales & Service",Business Unit Head,Sales,Joakim Vilson,Sweden (predicted),1965,Engineering,Male,
Alfa Laval,Executive Management,CEO,CEO,CEO,Tom Erixon,Sweden (predicted),1960,"Law, Business",Male,
Alfa Laval,Executive Management,"Director, HR",Support Function,Human Resources,Pascale Gimenez,France (predicted),1966,Business,Female,
Alfa Laval,Executive Management,"Director, Food & Water Division",Business Unit Head,"Other: ""Food & Water Head""",Nish Patel,Sweden (predicted),1962,Engineering,Male,
Alfa Laval,Executive Management,Chief Legal & Compliance Officer,Support Function,Legal Affairs,Emma Adlerton,Sweden (predicted),1973,Law,Female,
Alfa Laval,Executive Management,"Director, Marine Division",Business Unit Head,"Other: ""Marine Head""",Sameer Kalra,India (predicted),1962,"Engineering, Business",Male,
Alleima,Board of Directors,Chairman,Chair,Chair,Andreas Nordbrandt,Sweden (predicted),1971,Engineering,Male,
Alleima,Board of Directors,Board Member,Board Member,Board Member,Claes Boustedt,Sweden (predicted),1962,Business,Male,
Alleima,Board of Directors,Board Member,Board Member,Board Member,Susanne Pahlén Åklundh,Sweden (predicted),1960,Engineering,Female,
Alleima,Board of Directors,"Board Member, Chairman of Audit Committee",Board Member,Board Member,Karl Åberg,Sweden (predicted),1979,Business,Male,
Alleima,Board of Directors,Board Member,Board Member,Board Member,Ulf Larsson,Sweden (predicted),1962,Other: Forestry,Male,
Alleima,Board of Directors,Board Member,Board Member,Board Member,Victoria Van Camp,Sweden (predicted),1966,Engineering,Female,
Alleima,Board of Directors,"Board Member, President & CEO",CEO,CEO,Göran Björkman,Sweden (predicted),1965,Engineering,Male,
Alleima,Executive Management,President & CEO,CEO,CEO,Göran Björkman,Sweden (predicted),1965,Engineering,Male,
Alleima,Executive Management,"President, Tube Division",Business Unit Head,"Other: ""Tube Division Head""",Carl von Schantz,Sweden (predicted),1973,Business,Male,
Alleima,Executive Management,"President, Kanthal Division",Business Unit Head,"Other: ""Kanthal Division Head""",Robert Stål,Sweden (predicted),1983,"Sciences, Business",Male,
Alleima,Executive Management,"President, Strip Division",Business Unit Head,"Other: ""Strip Division Head""",Claes Åkerblom,Sweden (predicted),1975,Business,Male,
Alleima,Executive Management,Chief Financial Officer,Support Function,Finance,Olof Bengtsson,Sweden (predicted),1961,Business,Male,
Alleima,Executive Management,EVP & General Counsel,Support Function,Legal Affairs,Johanna Kreft,Sweden (predicted),1976,Law,Female,
Alleima,Executive Management,"EVP & Head of Strategy, M&A, and IT",Support Function,"Other: ""Strategy, M&A, IT Head""",Mikael Blazquez,Sweden (predicted),1972,Business,Male,
Alleima,Executive Management,EVP & Head of Human Resources,Support Function,Human Resources,Ulrika Dunker,Sweden (predicted),1975,"Other: ""Education, HR""",Female,
Alleima,Executive Management,EVP & Head of Strategic Research,Support Function,"Other: ""Strategic Research Head""",Tom Eriksson,Sweden (predicted),1973,Sciences,Male,
Alleima,Executive Management,EVP & Head of Communications,Support Function,"Other: ""Communications Head""",Elja Nordlöf,Sweden (predicted),1985,Humanities,Female,
Arion Bank,Board of Directors,Chairman,Chair,Chair,Brynjólfur Bjarnason,Iceland (predicted),1946,Business,Male,
Arion Bank,Board of Directors,Vice Chairman,Vice Chair,Vice Chair,Herdís Dröfn Fjeldsted,Iceland (predicted),1971,Business,Female,
Arion Bank,Board of Directors,Director,Board Member,Board Member,Gunnar Sturluson,Iceland (predicted),1967,Law,Male,
Arion Bank,Board of Directors,Director,Board Member,Board Member,Liv Fiksdahl,Norway (predicted),1965,Business,Female,
Arion Bank,Board of Directors,Director,Board Member,Board Member,Paul Horner,UK (predicted),1962,Humanities,Male,
Arion Bank,Board of Directors,Director,Board Member,Board Member,Renier Lemmens,Netherlands (predicted),1964,"Business, Engineering",Male,
Arion Bank,Board of Directors,Director,Board Member,Board Member,Steinunn Kristín Thórdardóttir,Iceland (predicted),1972,"Business, Humanities",Female,
Arion Bank,Executive Management,CEO,CEO,CEO,Benedikt Gíslason,Iceland (predicted),1974,Engineering,Male,
Arion Bank,Executive Management,Deputy CEO and Managing Director of Retail Banking,Support Function,Finance,Ida Brá Benediktsdóttir,Iceland (predicted),1976,Business,Female,
Arion Bank,Executive Management,Chief Operating Officer,Support Function,Legal Affairs,Birna Hlín Káradóttir,Iceland (predicted),1978,Law,Female,
Arion Bank,Executive Management,Managing Director of Information Technology & CIO,Business Unit Head,Innovation,Björn Björnsson,Iceland (predicted),1980,"Engineering, Business",Male,
Arion Bank,Executive Management,Managing Director of Corporate & Investment Banking,Business Unit Head,Finance,Hákon Hrafn Gröndal,Iceland (predicted),1988,Business,Male,
Arion Bank,Executive Management,Managing Director of Markets,Business Unit Head,Finance,Jóhann Möller,Iceland (predicted),1979,Business,Male,
Arion Bank,Executive Management,Chief Financial Officer,Support Function,Finance,Ólafur Hrafn Höskuldsson,Iceland (predicted),1981,Business,Male,
Arion Bank,Executive Management,Chief Risk Officer,Support Function,Finance,Úlfar Freyr Stefánsson,Iceland (predicted),1981,Sciences,Male,
Arjo,Board of Directors,Chairman,Chair,Chair,Johan Malmquist,Sweden (predicted),1961,Business,Male,
Arjo,Board of Directors,Vice Chairman,Vice Chair,Vice Chair,Carl Bennet,Sweden (predicted),1951,"Business, Other",Male,
Arjo,Board of Directors,Director,Board Member,Board Member,Ulrika Dellby,Sweden (predicted),1966,Business,Female,
Arjo,Board of Directors,Director,Board Member,Board Member,Eva Elmstedt,Sweden (predicted),1960,"Business, Sciences",Female,
Arjo,Board of Directors,Director,Board Member,Board Member,Dan Frohm,Sweden (predicted),1981,Engineering,Male,
Arjo,Board of Directors,Director,Board Member,Board Member,Ulf Grunander,Sweden (predicted),1954,Business,Male,
Arjo,Board of Directors,Director,Board Member,Board Member,Carola Lemne,Sweden (predicted),1958,Medicine,Female,
Arjo,Board of Directors,President & CEO,CEO,CEO,Joacim Lindoff,Sweden (predicted),1973,Business,Male,
Arjo,Executive Management,President & CEO,CEO,CEO,Joacim Lindoff,Sweden (predicted),1973,Business,Male,
Arjo,Executive Management,CFO,Support Function,Finance,Niclas Sjöswärd,Sweden (predicted),1974,Business,Male,
Arjo,Executive Management,"Executive Vice President, Human Resources & Sustainability",Support Function,Human Resources,Marion Gullstrand,Sweden (predicted),1957,Humanities,Female,
Arjo,Executive Management,"Executive Vice President, Quality & Regulatory Compliance (interim)",Support Function,Sustainability,Sara Harboe,Sweden (predicted),1966,Sciences,Female,
Arjo,Executive Management,President Global Sales & Service,Business Unit Head,Sales,Christian Stentoft,Denmark (predicted),1984,Engineering,Male,
Arjo,Executive Management,"Executive Vice President, Product Development and Supply Chain & Operations",Business Unit Head,Innovation,Jonas Cederhage,Sweden (predicted),1971,Engineering,Male,
Arjo,Executive Management,"Executive Vice President, Global Marketing",Business Unit Head,Comms and Marketing,Tobias Kramer,Denmark (predicted),1984,Business,Male,
Arjo,Executive Management,"Executive Vice President, Communication & Public Relations",Support Function,Comms and Marketing,Maria Nilsson,Sweden (predicted),1982,Business,Female,
Arjo,Executive Management,"Executive Vice President, Legal & Business Compliance and Board of Directors Secretary",Support Function,Legal Affairs,Ingrid Carlsson,Sweden (predicted),1976,Law,Female,
ASSA ABLOY,Board of Directors,Chairman,Chair,Chair,Johan Hjertonsson,Sweden (predicted),1968,Business,Male,
ASSA ABLOY,Board of Directors,Vice Chairman,Vice Chair,Vice Chair,Carl Douglas,Sweden (predicted),1965,Humanities,Male,
ASSA ABLOY,Board of Directors,Director,Board Member,Board Member,Erik Ekudden,Sweden (predicted),1968,Engineering,Male,
ASSA ABLOY,Board of Directors,Director,Board Member,Board Member,Sofia Schörling Högberg,Sweden (predicted),1978,Business,Female,
ASSA ABLOY,Board of Directors,Director,Board Member,Board Member,Lena Olving,Sweden (predicted),1956,Engineering,Female,
ASSA ABLOY,Board of Directors,Director,Board Member,Board Member,Victoria Van Camp,Sweden (predicted),1966,"Engineering, Sciences",Female,
ASSA ABLOY,Board of Directors,Director,Board Member,Board Member,Joakim Weidemanis,Sweden (predicted),1969,Business,Male,
ASSA ABLOY,Board of Directors,Director,Board Member,Board Member,Susanne Pahlén Åklundh,Sweden (predicted),1960,Engineering,Female,
ASSA ABLOY,Executive Management,"President & CEO, Head of Global Technologies and Asia Pacific",CEO,CEO,Nico Delvaux,Belgium (predicted),1966,"Engineering, Business",Male,
ASSA ABLOY,Executive Management,Executive Vice President and Chief Financial Officer,Support Function,Finance,Erik Pieder,Sweden (predicted),1968,"Business, Law",Male,
ASSA ABLOY,Executive Management,Executive Vice President and Head of Americas Division,Business Unit Head,Sales,Lucas Boselli,USA (predicted),1976,Engineering,Male,
ASSA ABLOY,Executive Management,Interim Executive Vice President and Chief Human Resources Officer,Support Function,Human Resources,Allan Cooper,UK (predicted),1968,Human Resources,Male,
ASSA ABLOY,Executive Management,"Executive Vice President and Head of Asia Pacific, ASSA ABLOY Opening Solutions Pacific and North East Asia",Business Unit Head,Sales,Simon Ellis,Australia (predicted),1974,Business,Male,
ASSA ABLOY,Executive Management,Executive Vice President and Head of Entrance Systems Division,Business Unit Head,Other: Engineering,Massimo Grassi,Italy (predicted),1961,Engineering,Male,
ASSA ABLOY,Executive Management,"Executive Vice President and Head of Global Technologies, HID",Business Unit Head,Innovation,Björn Lidefelt,Sweden (predicted),1981,Engineering,Male,
ASSA ABLOY,Executive Management,"Executive Vice President and Head of Global Technologies, Global Solutions",Business Unit Head,Innovation,Stephanie Ordan,France (predicted),1976,"Business, Engineering",Female,
ASSA ABLOY,Executive Management,"Executive Vice President and Head of Asia Pacific, ASSA ABLOY Opening Solutions Greater China and South East Asia",Business Unit Head,Innovation,Martin Poxton,UK (predicted),1972,Engineering,Male,
ASSA ABLOY,Executive Management,Executive Vice President and Head of EMEIA Division,Business Unit Head,Sales,Neil Vann,UK (predicted),1971,Engineering,Male,
AstraZeneca,Board of Directors,Non-Executive Chair,Chair,Chair,Michel Demaré,Switzerland (predicted),N/A,Business,Male,
AstraZeneca,Board of Directors,"Executive Director, CEO",CEO,CEO,Pascal Soriot,France (predicted),N/A,Business,Male,
AstraZeneca,Board of Directors,"Executive Director, CFO",Support Function,Finance,Aradhana Sarin,India (predicted),N/A,"Medicine, Business",Female,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Philip Broadley,UK (predicted),N/A,"Law, Business",Male,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Euan Ashley,UK (predicted),N/A,"Medicine, Sciences",Male,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Deborah DiSanzo,USA (predicted),N/A,Business,Female,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Diana Layfield,UK (predicted),N/A,Business,Female,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Anna Manz,UK (predicted),N/A,Business,Female,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Sheri McCoy,USA (predicted),N/A,"Business, Sciences",Female,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Tony Mok,China (predicted),N/A,Medicine,Male,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Nazneen Rahman,UK (predicted),N/A,"Medicine, Sciences",Female,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Andreas Rummelt,Switzerland (predicted),N/A,"Sciences, Business",Male,
AstraZeneca,Board of Directors,Non-Executive Director,Board Member,Board Member,Marcus Wallenberg,Sweden (predicted),N/A,Business,Male,
AstraZeneca,Executive Management,Chief Executive Officer (CEO),CEO,CEO,Pascal Soriot,France (predicted),N/A,Business,Male,
AstraZeneca,Executive Management,Chief Financial Officer (CFO),Support Function,Finance,Aradhana Sarin,India (predicted),N/A,"Medicine, Business",Female,
AstraZeneca,Executive Management,"Executive Vice-President, BioPharmaceuticals R&D",Business Unit Head,Innovation,Sharon Barr,USA (predicted),N/A,Sciences,Female,
AstraZeneca,Executive Management,"Executive Vice-President, Global Operations, IT & Chief Sustainability Officer",Business Unit Head,"Other: Sustainability, Operations",Pam Cheng,China (predicted),N/A,"Engineering, Business",Female,
AstraZeneca,Executive Management,"Executive Vice-President, BioPharmaceuticals Business Unit",Business Unit Head,Sales,Ruud Dobber,Netherlands (predicted),N/A,Sciences,Male,
AstraZeneca,Executive Management,"Chief Executive Officer, Alexion and Chief Strategy Officer",Business Unit Head,Other: Strategy,Marc Dunoyer,France (predicted),N/A,Business,Male,
AstraZeneca,Executive Management,"Executive Vice-President, Oncology Business Unit",Business Unit Head,Sales,David Fredrickson,USA (predicted),N/A,Business,Male,
AstraZeneca,Executive Management,"Executive Vice-President, Oncology R&D",Business Unit Head,Innovation,Susan Galbraith,UK (predicted),N/A,Medicine,Female,
AstraZeneca,Executive Management,"Chief Human Resources Officer, Chief Compliance Officer, General Counsel",Support Function,"Human Resources, Legal Affairs",Jeff Pott,USA (predicted),N/A,Law,Male,
AstraZeneca,Executive Management,"Executive Vice President, Vaccines & Immune Therapies",Business Unit Head,"Other: Vaccines, Immunotherapies",Iskra Reic,Croatia (predicted),N/A,Business,Female,
AstraZeneca,Executive Management,"Executive Vice President, International and China President",Business Unit Head,Country Head,Leon Wang,China (predicted),N/A,Business,Male,
Atlas Copco,Board of Directors,Chair,Chair,Chair,Hans Stråberg,Sweden,1957,Engineering,Male,
Atlas Copco,Board of Directors,President and CEO,CEO,CEO,Vagner Rego,Brazil,1972,"Engineering, Business",Male,
Atlas Copco,Board of Directors,Board Member,Board Member,Board Member,Jumana Al-Sibai,Germany,1972,"Engineering, Business",Female,
Atlas Copco,Board of Directors,Board Member,Board Member,Board Member,Heléne Mellquist,Sweden,1964,Business,Female,
Atlas Copco,Board of Directors,Board Member,Board Member,Board Member,Johan Forssell,Sweden,1971,Business,Male,
Atlas Copco,Board of Directors,Board Member,Board Member,Board Member,Anna Ohlsson-Leijon,Sweden,1968,Business,Female,
Atlas Copco,Board of Directors,Board Member,Board Member,Board Member,Gordon Riske,"USA, Germany",1957,Business,Male,
Atlas Copco,Board of Directors,Board Member,Board Member,Board Member,Peter Wallenberg Jr,Sweden,1959,Business,Male,
Atlas Copco,Board of Directors,Board Member,Board Member,Board Member,Karin Rådström,Sweden,1979,Engineering,Female,
Atlas Copco,Executive Management,President and CEO,CEO,CEO,Vagner Rego,Brazil,1972,"Engineering, Business",Male,
Atlas Copco,Executive Management,"Senior Executive Vice President, Compressor Technique",Business Unit Head,Other: Compressor Technique,Philippe Ernens,Belgium,1971,Engineering,Male,
Atlas Copco,Executive Management,"Senior Executive Vice President, Vacuum Technique",Business Unit Head,Other: Vacuum Technique,Geert Follens,Belgium,1959,"Engineering, Business",Male,
Atlas Copco,Executive Management,"Senior Executive Vice President, Industrial Technique",Business Unit Head,Other: Industrial Technique,Henrik Elmin,Sweden,1970,"Engineering, Business",Male,
Atlas Copco,Executive Management,"Senior Executive Vice President, Power Technique",Business Unit Head,Other: Power Technique,Andrew Walker,Ireland,1961,"Engineering, Business",Male,
Atlas Copco,Executive Management,"Senior Vice President, Chief Human Resources Officer",Support Function,Human Resources,Cecilia Sandberg,Sweden,1968,"Human Resources, Sociology",Female,
Atlas Copco,Executive Management,"Senior Vice President, Chief Financial Officer",Support Function,Finance,Peter Kinnart,Belgium,1969,Business,Male,
